n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,117,0.0009216701694447,0.5519735217094421,shapley_mean,-1,1,117,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
13,2,280,-0.1492496888202741,0.5574023723602295,shapley_mean,-1,2,280,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
12,3,432,-0.003608864691247,0.5518326163291931,shapley_mean,-1,3,432,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
11,4,718,-0.0196666814568521,0.559428870677948,shapley_mean,-1,4,718,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
10,5,1114,-0.0928115776357208,0.5675815343856812,shapley_mean,-1,5,1114,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
9,6,1206,0.1070074820193223,0.5472412705421448,shapley_mean,-1,6,1206,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
8,7,1761,0.1245850429424956,0.5437960028648376,shapley_mean,-1,7,1761,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
7,8,2824,0.1717576885211136,0.5371446013450623,shapley_mean,-1,8,2824,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
6,9,3310,0.1730115037067971,0.5361713171005249,shapley_mean,-1,9,3310,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
5,10,3893,0.1704150838308745,0.5357351899147034,shapley_mean,-1,10,3893,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
4,11,4476,0.1742299059816122,0.5335573554039001,shapley_mean,-1,11,4476,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
3,12,4678,0.1677929664914325,0.5353478789329529,shapley_mean,-1,12,4678,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
2,13,4851,0.1587522993557555,0.5369338393211365,shapley_mean,-1,13,4851,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
1,14,5199,0.1656830006130184,0.5381751656532288,shapley_mean,-1,14,5199,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
0,15,5456,0.1450057394355028,0.540614664554596,shapley_mean,-1,15,5456,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
14,1,117,-0.0343051573028815,0.5573747158050537,random_individual,0,1,117,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
13,2,280,0.0017592034513578,0.5567263960838318,random_individual,0,2,280,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
12,3,432,-0.1108478972634511,0.5641999244689941,random_individual,0,3,432,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
11,4,718,-0.0283582293390361,0.5523924231529236,random_individual,0,4,718,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
10,5,1114,-0.0435083340255306,0.5527989864349365,random_individual,0,5,1114,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
9,6,1206,-0.0586100404619524,0.553500771522522,random_individual,0,6,1206,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
8,7,1761,0.0407816171579042,0.5496873259544373,random_individual,0,7,1761,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
7,8,2824,0.1137623348782016,0.5424989461898804,random_individual,0,8,2824,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
6,9,3310,0.1072866983272569,0.5418694019317627,random_individual,0,9,3310,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
5,10,3893,0.1039339292405706,0.5423381328582764,random_individual,0,10,3893,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
4,11,4476,0.1160989679989942,0.5408039689064026,random_individual,0,11,4476,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
3,12,4678,0.1877050745137714,0.5313387513160706,random_individual,0,12,4678,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
2,13,4851,0.1772331943337879,0.5337518453598022,random_individual,0,13,4851,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
1,14,5199,0.1780284876611114,0.5347914695739746,random_individual,0,14,5199,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
0,15,5456,0.1450057394355028,0.540614664554596,random_individual,0,15,5456,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
14,1,117,0.1422935364391757,0.5577878952026367,random_individual,1,1,117,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
