Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378208
Array task ID: 9
The job was run on these nodes: idun-04-31
[I 2026-05-04 00:17:16,948] Trial 0 finished with value: 0.16850055061656904 and parameters: {'alpha': 574323.565896313, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005989214663243749, 'iw_n_components': 20, 'iw_logistic_c': 2.8870927958158354, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.16850055061656904.
[I 2026-05-04 00:20:02,276] Trial 1 finished with value: 0.15874842580096205 and parameters: {'alpha': 145427.84270397192, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0022034134189735897, 'iw_n_components': 10, 'iw_logistic_c': 8.53225823447423, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.16850055061656904.
[I 2026-05-04 00:22:58,237] Trial 2 finished with value: 0.18083677278103455 and parameters: {'alpha': 337268.1824826383, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0011214380556681478, 'iw_n_components': 40, 'iw_logistic_c': 0.0004456301044046966, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.18083677278103455.
[I 2026-05-04 00:25:52,414] Trial 3 finished with value: 0.1767217178074903 and parameters: {'alpha': 623873.8362358484, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0010704282286164728, 'iw_n_components': 30, 'iw_logistic_c': 0.003649078989687946, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 2 with value: 0.18083677278103455.
[I 2026-05-04 00:26:24,459] Trial 4 finished with value: 0.174349424152279 and parameters: {'alpha': 1199521.094898443, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 2 with value: 0.18083677278103455.
[I 2026-05-04 00:29:18,180] Trial 5 finished with value: 0.18215772751255063 and parameters: {'alpha': 594205.5826125565, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.017782866059784724, 'iw_n_components': 40, 'iw_logistic_c': 0.3876202021284575, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 5 with value: 0.18215772751255063.
[I 2026-05-04 00:31:52,113] Trial 6 finished with value: 0.1743634718816187 and parameters: {'alpha': 102431.18633356069, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0017147683107745938, 'iw_n_components': 20, 'iw_logistic_c': 4.32601466983518e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 5 with value: 0.18215772751255063.
[I 2026-05-04 00:34:34,517] Trial 7 finished with value: 0.17536400721571271 and parameters: {'alpha': 1830941.3950631474, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006357173651119782, 'iw_n_components': 40, 'iw_logistic_c': 1.7003213055010015e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 5 with value: 0.18215772751255063.
[I 2026-05-04 00:35:04,568] Trial 8 finished with value: 0.1742849561644543 and parameters: {'alpha': 1221444.8156569519, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 5 with value: 0.18215772751255063.
[I 2026-05-04 00:35:34,604] Trial 9 finished with value: 0.17841391355947295 and parameters: {'alpha': 201218.30977627521, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 5 with value: 0.18215772751255063.
[I 2026-05-04 00:36:04,664] Trial 10 finished with value: 0.17162088797137032 and parameters: {'alpha': 2975769.612119369, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 5 with value: 0.18215772751255063.
