Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361586
Array task ID: 11
The job was run on these nodes: idun-05-09
[I 2026-04-29 18:55:40,374] Trial 0 finished with value: 0.21246627938241636 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003473407124083527, 'iw_n_components': 10, 'iw_logistic_c': 4.788440522914161e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.21246627938241636.
[I 2026-04-29 18:59:09,485] Trial 1 finished with value: 0.19816397566064575 and parameters: {'alpha': 678446.9694418118, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.013068429331375598, 'iw_n_components': 10, 'iw_logistic_c': 0.08711457855994918, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 0 with value: 0.21246627938241636.
[I 2026-04-29 18:59:46,255] Trial 2 finished with value: 0.21029969309268254 and parameters: {'alpha': 143366.13979665696, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 0 with value: 0.21246627938241636.
[I 2026-04-29 19:03:16,361] Trial 3 finished with value: 0.1882915336464727 and parameters: {'alpha': 58361.61366993588, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0019861124260693325, 'iw_n_components': 20, 'iw_logistic_c': 0.0004456301044046966, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.21246627938241636.
[I 2026-04-29 19:06:43,691] Trial 4 finished with value: 0.21277978788423707 and parameters: {'alpha': 250773.322847116, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002976108514822249, 'iw_n_components': 20, 'iw_logistic_c': 4.619061290318921e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 4 with value: 0.21277978788423707.
[I 2026-04-29 19:07:20,311] Trial 5 finished with value: 0.2029572916906476 and parameters: {'alpha': 62532.36213374259, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 4 with value: 0.21277978788423707.
[I 2026-04-29 19:07:56,968] Trial 6 finished with value: 0.20362731861043187 and parameters: {'alpha': 65987.16623129728, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 4 with value: 0.21277978788423707.
[I 2026-04-29 19:11:21,928] Trial 7 finished with value: 0.19963603457476842 and parameters: {'alpha': 258199.7322511972, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.011698400979567373, 'iw_n_components': 10, 'iw_logistic_c': 2.0700004045587807e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 4 with value: 0.21277978788423707.
[I 2026-04-29 19:14:32,447] Trial 8 finished with value: 0.20937682627774717 and parameters: {'alpha': 471111.2729113027, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0028488821422992545, 'iw_n_components': 5, 'iw_logistic_c': 4.32601466983518e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 4 with value: 0.21277978788423707.
[I 2026-04-29 19:18:13,601] Trial 9 finished with value: 0.20126951509489593 and parameters: {'alpha': 647318.353565713, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0018153829433867708, 'iw_n_components': 30, 'iw_logistic_c': 0.00016321259509605548, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 4 with value: 0.21277978788423707.
[I 2026-04-29 19:18:50,608] Trial 10 finished with value: 0.20986113797119205 and parameters: {'alpha': 131339.8012856921, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 4 with value: 0.21277978788423707.
