Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378211
Array task ID: 12
The job was run on these nodes: idun-04-17
[I 2026-05-04 00:16:56,438] Trial 0 finished with value: 0.1833231828020953 and parameters: {'alpha': 574323.565896313, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005989214663243749, 'iw_n_components': 20, 'iw_logistic_c': 2.8870927958158354, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:19:20,145] Trial 1 finished with value: 0.17527317823355443 and parameters: {'alpha': 145427.84270397192, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0022034134189735897, 'iw_n_components': 10, 'iw_logistic_c': 8.53225823447423, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:21:51,628] Trial 2 finished with value: 0.1749911967053766 and parameters: {'alpha': 337268.1824826383, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0011214380556681478, 'iw_n_components': 40, 'iw_logistic_c': 0.0004456301044046966, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:24:21,870] Trial 3 finished with value: 0.18315447736643614 and parameters: {'alpha': 623873.8362358484, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0010704282286164728, 'iw_n_components': 30, 'iw_logistic_c': 0.003649078989687946, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:24:49,001] Trial 4 finished with value: 0.1601250224328792 and parameters: {'alpha': 1199521.094898443, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:27:25,850] Trial 5 finished with value: 0.17343723054860508 and parameters: {'alpha': 594205.5826125565, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.017782866059784724, 'iw_n_components': 40, 'iw_logistic_c': 0.3876202021284575, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:29:48,353] Trial 6 finished with value: 0.1706383896776112 and parameters: {'alpha': 102431.18633356069, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0017147683107745938, 'iw_n_components': 20, 'iw_logistic_c': 4.32601466983518e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:32:18,445] Trial 7 finished with value: 0.17579551369164398 and parameters: {'alpha': 1830941.3950631474, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006357173651119782, 'iw_n_components': 40, 'iw_logistic_c': 1.7003213055010015e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:32:45,570] Trial 8 finished with value: 0.16000658755687125 and parameters: {'alpha': 1221444.8156569519, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:33:12,663] Trial 9 finished with value: 0.1672989281856577 and parameters: {'alpha': 201218.30977627521, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:33:39,795] Trial 10 finished with value: 0.154513400812399 and parameters: {'alpha': 2974690.6878723423, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 0 with value: 0.1833231828020953.
