n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,166,0.09251034259796143,1.17328679561615,shapley_mean,-1,0
2,360,0.08144621551036835,1.1821061372756958,shapley_mean,-1,0
3,652,0.03738737851381302,1.2153366804122925,shapley_mean,-1,0
4,854,0.018159503117203712,1.2304173707962036,shapley_mean,-1,0
5,1932,0.1870630979537964,1.3010756969451904,shapley_mean,-1,0
6,2288,0.016510669142007828,1.1906706094741821,shapley_mean,-1,0
7,2872,0.16894926130771637,1.2886067628860474,shapley_mean,-1,0
8,2964,0.15590950846672058,1.34200918674469,shapley_mean,-1,0
9,3361,0.20759859681129456,1.324257254600525,shapley_mean,-1,0
10,3919,0.03163936361670494,1.1892191171646118,shapley_mean,-1,0
11,4502,0.04430769383907318,1.1863503456115723,shapley_mean,-1,0
12,4988,0.1054234653711319,1.1786062717437744,shapley_mean,-1,0
13,5161,0.06880322098731995,1.1827046871185303,shapley_mean,-1,0
14,5319,0.22673073410987854,1.2939685583114624,shapley_mean,-1,0
15,5578,0.049438998103141785,1.1863778829574585,shapley_mean,-1,0
1,166,0.28942033648490906,1.1091880798339844,random_individual,0,0
2,360,-0.006998409051448107,1.2036759853363037,random_individual,0,0
3,652,0.32225170731544495,1.079769492149353,random_individual,0,0
4,854,-0.048667460680007935,1.1840664148330688,random_individual,0,0
5,1932,0.2442200481891632,1.1434868574142456,random_individual,0,0
6,2288,0.07730366289615631,1.2765849828720093,random_individual,0,0
7,2872,0.1445566713809967,1.254764199256897,random_individual,0,0
8,2964,0.1395302414894104,1.280774712562561,random_individual,0,0
9,3361,0.12446681410074234,1.1681572198867798,random_individual,0,0
10,3919,0.13095562160015106,1.2893785238265991,random_individual,0,0
11,4502,0.15427976846694946,1.3311985731124878,random_individual,0,0
12,4988,0.18693676590919495,1.3058301210403442,random_individual,0,0
13,5161,0.11375732719898224,1.3769012689590454,random_individual,0,0
14,5319,0.18572910130023956,1.3595820665359497,random_individual,0,0
15,5578,0.21005035936832428,1.3542957305908203,random_individual,0,0
1,166,0.006631746422499418,1.1720893383026123,random_individual,1,0
2,360,-0.1021953746676445,1.1812068223953247,random_individual,1,0
3,652,-0.1323370635509491,1.192375659942627,random_individual,1,0
4,854,0.03212176635861397,1.1785964965820312,random_individual,1,0
5,1932,0.12539750337600708,1.1612306833267212,random_individual,1,0
6,2288,-0.0468042716383934,1.177372932434082,random_individual,1,0
7,2872,-0.03651013597846031,1.1776376962661743,random_individual,1,0
8,2964,0.10369275510311127,1.1850496530532837,random_individual,1,0
9,3361,0.0819321796298027,1.1716758012771606,random_individual,1,0
10,3919,0.2897263765335083,1.1475481986999512,random_individual,1,0
11,4502,0.06951045244932175,1.1652274131774902,random_individual,1,0
12,4988,0.22856692969799042,1.1464908123016357,random_individual,1,0
13,5161,0.12533442676067352,1.1721261739730835,random_individual,1,0
14,5319,0.20917639136314392,1.1568411588668823,random_individual,1,0
15,5578,0.23461981117725372,1.3916386365890503,random_individual,1,0
1,166,0.1564883589744568,1.148084044456482,random_individual,2,0
2,360,0.11181972920894623,1.1546963453292847,random_individual,2,0
3,652,0.15707062184810638,1.1530710458755493,random_individual,2,0
4,854,-0.0881047323346138,1.191845178604126,random_individual,2,0
5,1932,0.008170131593942642,1.16801917552948,random_individual,2,0
6,2288,0.06768841296434402,1.324629783630371,random_individual,2,0
