trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,n_pcs,alpha,pearson_r,outer_pca_cumvar,fit_time_seconds
body_mass,1,0,Nesøy,20,5578,119,65344,2500,90113.39,0.22464026973671394,0.8414833545684814,0.2728190000000268
body_mass,2,1,Myken,22,5605,92,65344,2500,90113.39,0.41478981245057245,0.8414833545684814,0.21281909999993331
body_mass,3,2,Træna,23,5405,292,65344,2500,90113.39,0.1745079647409931,0.8414833545684814,0.20948760000010225
body_mass,4,3,Selvær,24,5503,194,65344,2500,90113.39,0.20542901712945916,0.8414833545684814,0.23081119999983457
body_mass,5,4,Gjerøy,26,5139,558,65344,2500,90113.39,0.10042499859577653,0.8414833545684814,0.25419970000007197
body_mass,6,5,Hestmannøy,27,4619,1078,65344,2500,90113.39,0.16551541432887015,0.8414833545684814,0.2117945999998483
body_mass,7,6,Indre Kvarøy,28,5341,356,65344,2500,90113.39,0.29366825665883745,0.8414833545684814,0.21913020000010874
body_mass,8,7,Onøy og Lurøy,33,5438,259,65344,2500,90113.39,-0.02499569082794343,0.8414833545684814,0.19298800000001393
body_mass,9,8,Lovund,34,5539,158,65344,2500,90113.39,0.3997962771877835,0.8414833545684814,0.1990016999998261
body_mass,10,9,Sleneset,35,5531,166,65344,2500,90113.39,0.23508488371431713,0.8414833545684814,0.21129679999990003
body_mass,11,10,Aldra,38,5524,173,65344,2500,90113.39,0.23099850032580857,0.8414833545684814,0.19757619999995768
body_mass,12,11,Leka,60,5114,583,65344,2500,90113.39,0.16827215165711698,0.8414833545684814,0.18617929999982152
body_mass,13,12,Vega,61,5300,397,65344,2500,90113.39,0.09711405577428317,0.8414833545684814,0.18981559999997444
body_mass,14,13,Vikna,63,5113,584,65344,2500,90113.39,0.11926545305475973,0.8414833545684814,0.1865536999998767
body_mass,15,14,Lauvøya,67,5009,688,65344,2500,90113.39,0.06308166373831156,0.8414833545684814,0.20211590000008073
thr_tarsus,1,0,Nesøy,20,5533,117,65344,4000,114078.83,0.31641789111435453,0.951714277267456,0.4788186000000678
thr_tarsus,2,1,Myken,22,5558,92,65344,4000,114078.83,0.33898913678838166,0.951714277267456,0.5269796999998562
thr_tarsus,3,2,Træna,23,5364,286,65344,4000,114078.83,0.23782773949885952,0.951714277267456,0.468474199999946
thr_tarsus,4,3,Selvær,24,5456,194,65344,4000,114078.83,0.27957051104227243,0.951714277267456,0.47600229999989097
thr_tarsus,5,4,Gjerøy,26,5095,555,65344,4000,114078.83,0.2547330936550208,0.951714277267456,0.4698866999999609
thr_tarsus,6,5,Hestmannøy,27,4587,1063,65344,4000,114078.83,0.23141208237751693,0.951714277267456,0.4506785000000946
thr_tarsus,7,6,Indre Kvarøy,28,5302,348,65344,4000,114078.83,0.3586003734829507,0.951714277267456,0.5094784999998865
thr_tarsus,8,7,Onøy og Lurøy,33,5393,257,65344,4000,114078.83,0.21816143107008465,0.951714277267456,0.4949122000000443
thr_tarsus,9,8,Lovund,34,5498,152,65344,4000,114078.83,0.4274986185785057,0.951714277267456,0.5031048999999257
thr_tarsus,10,9,Sleneset,35,5487,163,65344,4000,114078.83,0.2596613225426324,0.951714277267456,0.484439600000087
thr_tarsus,11,10,Aldra,38,5477,173,65344,4000,114078.83,0.22931509378480086,0.951714277267456,0.49974780000002283
thr_tarsus,12,11,Leka,60,5067,583,65344,4000,114078.83,0.24471336485529904,0.951714277267456,0.48325850000014725
