n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
0,15,5578,0.2499062865972519,1.3377151489257812,shapley_mean,-1,0
1,14,5319,0.2574693262577057,1.3337491750717163,shapley_mean,-1,0
2,13,5027,0.262778639793396,1.3249496221542358,shapley_mean,-1,0
3,12,4469,0.2446722537279129,1.3256641626358032,shapley_mean,-1,0
4,11,4311,0.2512268126010895,1.337037205696106,shapley_mean,-1,0
5,10,3914,0.23206281661987305,1.365847110748291,shapley_mean,-1,0
6,9,3331,0.24484595656394958,1.3726491928100586,shapley_mean,-1,0
7,8,3129,0.2687254250049591,1.3300052881240845,shapley_mean,-1,0
8,7,2643,0.26912567019462585,1.324894905090332,shapley_mean,-1,0
9,6,1565,0.21590833365917206,1.292920708656311,shapley_mean,-1,0
10,5,1209,0.16303583979606628,1.3215584754943848,shapley_mean,-1,0
11,4,625,0.19896885752677917,1.3221831321716309,shapley_mean,-1,0
12,3,431,0.1943420171737671,1.3174346685409546,shapley_mean,-1,0
13,2,258,0.1356973797082901,1.3540815114974976,shapley_mean,-1,0
14,1,92,0.11978502571582794,1.3642865419387817,shapley_mean,-1,0
0,15,5578,0.23074162006378174,1.3402179479599,random_individual,0,0
1,14,5319,0.19119325280189514,1.3631712198257446,random_individual,0,0
2,13,5027,0.12642249464988708,1.3926901817321777,random_individual,0,0
3,12,4469,0.16047552227973938,1.3590373992919922,random_individual,0,0
4,11,4311,0.20251542329788208,1.3739738464355469,random_individual,0,0
5,10,3914,0.22791267931461334,1.3195902109146118,random_individual,0,0
6,9,3331,0.20318366587162018,1.3914674520492554,random_individual,0,0
7,8,3129,0.26153063774108887,1.3098235130310059,random_individual,0,0
8,7,2643,0.11948548257350922,1.3952269554138184,random_individual,0,0
9,6,1565,0.11913222074508667,1.3973857164382935,random_individual,0,0
10,5,1209,0.1601380854845047,1.4202828407287598,random_individual,0,0
11,4,625,0.12216425687074661,1.4213013648986816,random_individual,0,0
12,3,431,-0.0626736581325531,1.4573036432266235,random_individual,0,0
13,2,258,-0.19391471147537231,1.4306336641311646,random_individual,0,0
14,1,92,0.12695999443531036,1.3786821365356445,random_individual,0,0
0,15,5578,0.3021202087402344,1.302587628364563,random_individual,1,0
1,14,5319,0.22230471670627594,1.3554867506027222,random_individual,1,0
2,13,5027,0.22355985641479492,1.351021647453308,random_individual,1,0
3,12,4469,0.2356717586517334,1.3722769021987915,random_individual,1,0
4,11,4311,0.20679311454296112,1.403777003288269,random_individual,1,0
5,10,3914,0.22651617228984833,1.3511500358581543,random_individual,1,0
6,9,3331,0.2309056967496872,1.367874026298523,random_individual,1,0
7,8,3129,0.25856101512908936,1.3351119756698608,random_individual,1,0
8,7,2643,0.14798986911773682,1.3961392641067505,random_individual,1,0
9,6,1565,0.04792061075568199,1.459052562713623,random_individual,1,0
10,5,1209,-0.019171105697751045,1.4127577543258667,random_individual,1,0
11,4,625,0.04619041085243225,1.479631781578064,random_individual,1,0
12,3,431,-0.005775485187768936,1.4136070013046265,random_individual,1,0
13,2,258,-0.12584836781024933,1.4099782705307007,random_individual,1,0
14,1,92,0.07408250868320465,1.427983283996582,random_individual,1,0
0,15,5578,0.24499772489070892,1.3262137174606323,random_individual,2,0
1,14,5319,0.2151297926902771,1.3595556020736694,random_individual,2,0
2,13,5027,0.24179469048976898,1.336177945137024,random_individual,2,0
3,12,4469,0.2546890079975128,1.3615127801895142,random_individual,2,0
4,11,4311,0.1880723237991333,1.357656478881836,random_individual,2,0
5,10,3914,0.17818675935268402,1.3601170778274536,random_individual,2,0
6,9,3331,0.21949748694896698,1.3763941526412964,random_individual,2,0
