n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,1078,0.12496825307607651,1.4068740606307983,shapley_mean,-1,0
2,1251,0.1425279825925827,1.3881158828735352,shapley_mean,-1,0
3,1417,0.18624061346054077,1.3144298791885376,shapley_mean,-1,0
4,2001,0.22975924611091614,1.2710827589035034,shapley_mean,-1,0
5,2195,0.2114151120185852,1.290925145149231,shapley_mean,-1,0
6,2778,0.21952350437641144,1.2971546649932861,shapley_mean,-1,0
7,3264,0.19750486314296722,1.333635687828064,shapley_mean,-1,0
8,3556,0.2026260942220688,1.289171576499939,shapley_mean,-1,0
9,3815,0.18192261457443237,1.3273487091064453,shapley_mean,-1,0
10,4017,0.13655208051204681,1.3772257566452026,shapley_mean,-1,0
11,4373,0.18116095662117004,1.3592296838760376,shapley_mean,-1,0
12,4931,0.20853421092033386,1.364061951637268,shapley_mean,-1,0
13,5328,0.24428965151309967,1.348920226097107,shapley_mean,-1,0
14,5486,0.23965348303318024,1.351157307624817,shapley_mean,-1,0
15,5578,0.2261763960123062,1.396103858947754,shapley_mean,-1,0
1,1078,0.28056901693344116,1.2346075773239136,random_individual,0,0
2,1251,0.049533527344465256,1.247046947479248,random_individual,0,0
3,1417,0.29106226563453674,1.2095891237258911,random_individual,0,0
4,2001,0.22893720865249634,1.2182101011276245,random_individual,0,0
5,2195,0.21325373649597168,1.2388004064559937,random_individual,0,0
6,2778,0.2912907302379608,1.2077006101608276,random_individual,0,0
7,3264,0.20354224741458893,1.2296844720840454,random_individual,0,0
8,3556,0.22238978743553162,1.2159634828567505,random_individual,0,0
9,3815,0.2134464681148529,1.222581386566162,random_individual,0,0
10,4017,0.17003290355205536,1.4752808809280396,random_individual,0,0
11,4373,0.1569271683692932,1.4708493947982788,random_individual,0,0
12,4931,0.2139424979686737,1.4219309091567993,random_individual,0,0
13,5328,0.19354192912578583,1.4816795587539673,random_individual,0,0
14,5486,0.19869095087051392,1.5111652612686157,random_individual,0,0
15,5578,0.2363874614238739,1.389756679534912,random_individual,0,0
1,1078,0.12499311566352844,1.256278157234192,random_individual,1,0
2,1251,0.1644372045993805,1.2886239290237427,random_individual,1,0
3,1417,-0.06372333317995071,1.2634693384170532,random_individual,1,0
4,2001,0.12682996690273285,1.3392587900161743,random_individual,1,0
5,2195,0.22563569247722626,1.2135900259017944,random_individual,1,0
6,2778,-0.00685114786028862,1.6037826538085938,random_individual,1,0
7,3264,0.0672256201505661,1.5003494024276733,random_individual,1,0
8,3556,0.04491627216339111,1.5451570749282837,random_individual,1,0
9,3815,0.16892097890377045,1.2301781177520752,random_individual,1,0
10,4017,0.11312495172023773,1.2329941987991333,random_individual,1,0
11,4373,0.07464347779750824,1.2453638315200806,random_individual,1,0
12,4931,0.17404116690158844,1.460612177848816,random_individual,1,0
13,5328,0.17780427634716034,1.5076156854629517,random_individual,1,0
14,5486,0.24088187515735626,1.3801952600479126,random_individual,1,0
15,5578,0.2268744558095932,1.410148024559021,random_individual,1,0
1,1078,0.27590373158454895,1.212583065032959,random_individual,2,0
2,1251,0.20382510125637054,1.2239991426467896,random_individual,2,0
3,1417,0.11405213922262192,1.2404054403305054,random_individual,2,0
4,2001,0.1838933378458023,1.241940975189209,random_individual,2,0
5,2195,-0.035365283489227295,1.2560551166534424,random_individual,2,0
6,2778,0.25753891468048096,1.210972785949707,random_individual,2,0
7,3264,0.22659233212471008,1.3833554983139038,random_individual,2,0
8,3556,0.2479068636894226,1.3183201551437378,random_individual,2,0
9,3815,0.23940648138523102,1.3648953437805176,random_individual,2,0
10,4017,0.18851985037326813,1.4531841278076172,random_individual,2,0
11,4373,0.15595318377017975,1.5011759996414185,random_individual,2,0
12,4931,0.181212916970253,1.5191283226013184,random_individual,2,0
13,5328,0.20397046208381653,1.4291378259658813,random_individual,2,0
14,5486,0.20453937351703644,1.4554160833358765,random_individual,2,0
15,5578,0.25424930453300476,1.3785614967346191,random_individual,2,0
1,1078,0.17987750470638275,1.256905436515808,random_individual,3,0
2,1251,0.11204098910093307,1.3008357286453247,random_individual,3,0
3,1417,0.16734781861305237,1.3195027112960815,random_individual,3,0
4,2001,0.24286426603794098,1.3371882438659668,random_individual,3,0
5,2195,0.262959361076355,1.2652912139892578,random_individual,3,0
6,2778,0.17829541862010956,1.3769444227218628,random_individual,3,0
7,3264,0.1816459447145462,1.2521872520446777,random_individual,3,0
8,3556,0.18584032356739044,1.4210418462753296,random_individual,3,0
9,3815,0.19487273693084717,1.4174671173095703,random_individual,3,0
10,4017,0.2126195728778839,1.3720463514328003,random_individual,3,0
11,4373,0.1954392045736313,1.3821266889572144,random_individual,3,0
12,4931,0.2188091278076172,1.3885337114334106,random_individual,3,0
13,5328,0.188949316740036,1.4551175832748413,random_individual,3,0
14,5486,0.2342226654291153,1.371792197227478,random_individual,3,0
15,5578,0.23113568127155304,1.4446150064468384,random_individual,3,0
1,1078,0.22889186441898346,1.1932787895202637,random_individual,4,0
2,1251,0.19711391627788544,1.214585304260254,random_individual,4,0
3,1417,0.1614755243062973,1.2226108312606812,random_individual,4,0
4,2001,0.01914062909781933,1.2365602254867554,random_individual,4,0
5,2195,0.16695061326026917,1.244558334350586,random_individual,4,0
6,2778,0.20985910296440125,1.2452301979064941,random_individual,4,0
7,3264,0.33741775155067444,1.1670385599136353,random_individual,4,0
8,3556,0.25392526388168335,1.2336572408676147,random_individual,4,0
9,3815,0.27979063987731934,1.2434321641921997,random_individual,4,0
10,4017,0.11908186227083206,1.242476224899292,random_individual,4,0
11,4373,0.2370380014181137,1.3035496473312378,random_individual,4,0
12,4931,0.18472155928611755,1.3835703134536743,random_individual,4,0
13,5328,0.1859435886144638,1.4679614305496216,random_individual,4,0
14,5486,0.17173077166080475,1.4697308540344238,random_individual,4,0
15,5578,0.2114502638578415,1.4747644662857056,random_individual,4,0
